playername,year,realERA,adjustedERA,diff
Jack Bracken,1901,6.19,3.58,2.61
Jack Katoll,1902,4.23,1.64,2.59
Derek Lowe,2012,5.52,3.11,2.41
Jamie Moyer,2010,4.84,2.45,2.39
Willis Roberts,2001,5.45,3.11,2.34
Glendon Rusch,2003,7.36,5.05,2.31
Ryan Dempster,2003,6.71,4.42,2.29
Adam Conley,2017,6.17,3.90,2.27
Jason Hammel,2018,6.16,3.89,2.27
Jimmy Haynes,1999,5.80,3.60,2.20
Chris Capuano,2013,4.46,2.30,2.16
Michael Wacha,2021,4.53,2.37,2.16
Yovani Gallardo,2007,3.74,1.59,2.15
Tony Gonsolin,2023,4.98,2.84,2.14
Taylor Buchholz,2006,6.08,3.94,2.14
Jeff Locke,2016,5.86,3.74,2.12
Jim Rooker,1979,4.59,2.49,2.10
Tyler Beede,2019,5.03,2.94,2.09
Tim Wakefield,2010,5.71,3.63,2.08
Chuck Finley,2001,5.54,3.47,2.07
Oliver Perez,2005,5.85,3.79,2.06
Brian Anderson,1994,5.22,3.17,2.05
Adam Wainwright,2023,7.40,5.36,2.04
Carl Pavano,1999,5.59,3.55,2.04
Blake Stein,1998,6.36,4.33,2.03
David Nied,1994,4.80,2.77,2.03
Joe Ross,2021,4.02,2.00,2.02
Steve Sparks,2004,6.00,3.99,2.01
Kenny Rogers,2001,6.19,4.18,2.01
Ismael Valdez,2000,5.69,3.69,2.00
Mark Prior,2004,4.02,2.02,2.00
Lloyd Brown,1936,4.58,2.59,1.99
Eduardo Rodriguez,2015,3.85,1.86,1.99
Roy Halladay,1999,3.97,1.99,1.98
Del Lundgren,1927,6.07,4.09,1.98
Jordan Zimmermann,2016,4.93,2.96,1.97
Graham Ashcraft,2023,4.76,2.79,1.97
Ramon Ortiz,2000,5.09,3.12,1.97
Dan Griner,1914,2.54,0.59,1.95
Aaron Laffey,2009,4.53,2.58,1.95
Blake Snell,2019,4.29,2.34,1.95
Oliver Perez,2003,5.47,3.53,1.94
Scott Schoeneweis,2004,5.56,3.62,1.94
Tony Armas,2005,4.97,3.03,1.94
Kris Bubic,2021,4.77,2.84,1.93
Chubby Dean,1940,6.70,4.77,1.93
Jim Bullinger,1996,7.40,5.48,1.92
Hideo Nomo,2005,7.24,5.32,1.92
Adam Morgan,2016,6.16,4.24,1.92
Firpo Marberry,1932,4.42,2.52,1.90
Esmil Rogers,2013,4.89,3.00,1.89
Shawn Chacon,2003,4.60,2.71,1.89
Dick Fowler,1942,4.72,2.83,1.89
Tommy Thomas,1934,5.52,3.63,1.89
Pete Appleton,1937,5.18,3.29,1.89
Kyle Lohse,2006,6.19,4.30,1.89
Jordan Zimmermann,2019,6.91,5.02,1.89
Odrisamer Despaigne,2015,5.44,3.58,1.86
Jhoulys Chacin,2019,6.07,4.22,1.85
Domingo German,2023,4.77,2.92,1.85
Mickey Harris,1948,5.79,3.94,1.85
Ismael Valdez,2003,6.10,4.26,1.84
Derek Lilliquist,1990,5.12,3.28,1.84
Mike Paxton,1979,5.86,4.02,1.84
Kris Benson,2003,4.97,3.13,1.84
Bryce Miller,2023,4.32,2.48,1.84
Heinie Meine,1930,6.04,4.20,1.84
Michael Tejera,2002,4.94,3.11,1.83
Tom Gorzelanny,2008,6.66,4.83,1.83
Vern Law,1950,5.21,3.38,1.83
Mitch Keller,2021,6.17,4.34,1.83
Tarik Skubal,2022,3.52,1.69,1.83
Randy Johnson,2003,4.26,2.44,1.82
Williams Perez,2015,4.61,2.79,1.82
Andy Hawkins,1984,5.25,3.43,1.82
Paul Blackburn,2022,4.28,2.46,1.82
Jake Arrieta,2012,6.13,4.31,1.82
Chad Bettis,2018,5.28,3.47,1.81
Rick Aguilera,1996,5.42,3.61,1.81
Mike Smithson,1988,5.74,3.93,1.81
Jesse Jefferson,1975,4.95,3.15,1.80
Ryan Rowland-Smith,2010,6.93,5.13,1.80
Jim Maloney,1962,3.81,2.01,1.80
Jorge de la Rosa,2008,5.09,3.29,1.80
Blake Stein,2000,4.68,2.88,1.80
Mike Pelfrey,2017,6.01,4.22,1.79
Ryan Yarbrough,2021,5.46,3.67,1.79
Miguel Gonzalez,2017,4.62,2.83,1.79
Bill Swift,1995,4.94,3.15,1.79
Aaron Sele,2005,5.66,3.87,1.79
Steve Avery,1998,4.77,2.98,1.79
Andy Ashby,1993,6.53,4.75,1.78
Ervin Santana,2015,4.00,2.22,1.78
Martin Perez,2023,4.98,3.21,1.77
Travis Wood,2011,5.08,3.31,1.77
Guy Bush,1926,3.09,1.33,1.76
Erick Fedde,2022,5.81,4.05,1.76
Dan Reichert,2001,5.66,3.90,1.76
Jose Silva,1998,4.40,2.64,1.76
Aaron Sele,2003,5.77,4.01,1.76
Tomo Ohka,2001,5.35,3.59,1.76
Chris Rusin,2015,5.62,3.86,1.76
Mike Campbell,1988,5.89,4.14,1.75
Jamey Wright,2002,5.33,3.58,1.75
Jose Quintana,2012,3.97,2.22,1.75
James Shields,2006,4.84,3.10,1.74
Nathan Eovaldi,2022,3.87,2.13,1.74
Pete Harnisch,1995,3.68,1.94,1.74
Oliver Perez,2006,6.55,4.81,1.74
Jeremy Guthrie,2015,6.10,4.36,1.74
Lucas Harrell,2013,5.98,4.24,1.74
Adam Wainwright,2017,5.12,3.39,1.73
Victor Santos,2006,5.19,3.46,1.73
Sean Marshall,2006,5.59,3.86,1.73
Matt Wisler,2015,4.79,3.06,1.73
Frank Reberger,1970,5.66,3.93,1.73
Bob Kipper,1987,5.91,4.18,1.73
Kevin Jarvis,1996,6.15,4.42,1.73
John Koronka,2006,5.69,3.97,1.72
Ian Anderson,2022,5.00,3.28,1.72
Bret Saberhagen,1984,4.09,2.37,1.72
Len Barker,1979,4.65,2.93,1.72
Bill Dietrich,1945,4.21,2.49,1.72
Jason Bere,1998,5.49,3.77,1.72
Gary Knotts,2004,5.30,3.59,1.71
Bill Dietrich,1935,6.50,4.79,1.71
Stu Miller,1953,5.13,3.42,1.71
Danny Duffy,2011,5.64,3.93,1.71
Ken Heintzelman,1942,4.59,2.88,1.71
Hunter Greene,2023,4.82,3.11,1.71
Steve Cooke,1994,5.15,3.44,1.71
Nathan Eovaldi,2013,3.39,1.69,1.70
Lew Burdette,1964,4.31,2.61,1.70
John Burkett,1999,5.98,4.28,1.70
Fred Frankhouse,1931,3.96,2.26,1.70
Ray Keating,1919,3.16,1.46,1.70
Jimmy Lavender,1917,3.89,2.19,1.70
Kutter Crawford,2023,4.51,2.82,1.69
Tyler Skaggs,2018,4.02,2.33,1.69
Marion Fricano,1954,6.13,4.44,1.69
Burleigh Grimes,1932,4.71,3.02,1.69
Dennis Burns,1924,5.26,3.57,1.69
Craig Stammen,2010,5.06,3.38,1.68
Graham Ashcraft,2022,4.89,3.21,1.68
Michael Lorenzen,2015,5.45,3.77,1.68
Mario Soto,1986,4.71,3.03,1.68
Jon Heasley,2022,5.28,3.60,1.68
Steve Karsay,1997,5.77,4.09,1.68
Marvin Freeman,1996,6.02,4.34,1.68
Grayson Rodriguez,2023,4.35,2.68,1.67
Ryan Vogelsong,2013,5.73,4.06,1.67
Les Sweetland,1931,4.35,2.68,1.67
Eric King,1986,4.31,2.64,1.67
Dutch Leonard,1918,2.72,1.05,1.67
Kevin Gross,1996,6.03,4.36,1.67
Brian Kingman,1979,4.30,2.63,1.67
Ken Holloway,1925,4.79,3.12,1.67
Dylan Covey,2018,5.50,3.83,1.67
Dale Gear,1901,4.63,2.96,1.67
Darren Oliver,2000,7.42,5.75,1.67
Marcus Stroman,2022,3.50,1.84,1.66
Red Faber,1927,4.35,2.69,1.66
Gerry Staley,1954,5.83,4.17,1.66
Paul Moskau,1977,4.08,2.42,1.66
David Huff,2009,5.61,3.95,1.66
Carlton Loewer,1998,6.09,4.43,1.66
Tony Welzer,1927,5.04,3.38,1.66
Brian Tallet,2009,5.41,3.75,1.66
Homer Bailey,2010,4.46,2.80,1.66
Odalis Perez,2006,6.69,5.04,1.65
Jason Grimsley,1996,6.71,5.06,1.65
John Martina,1924,4.63,2.98,1.65
Adam Eaton,2008,5.71,4.06,1.65
Dan McGinn,1970,4.75,3.10,1.65
Andy Messersmith,1977,4.40,2.75,1.65
George Smith,1922,4.98,3.33,1.65
Luke Hamlin,1944,3.97,2.33,1.64
Neal Heaton,1983,4.31,2.67,1.64
Derek Holland,2017,5.99,4.35,1.64
Jason Bere,1995,7.19,5.55,1.64
Johan Santana,2012,4.85,3.21,1.64
Mike O'Connor,2006,4.81,3.18,1.63
David Price,2019,4.28,2.65,1.63
Firpo Marberry,1934,5.37,3.74,1.63
Jerome Williams,2015,6.13,4.50,1.63
Matt Garza,2012,3.91,2.28,1.63
Adbert Alzolay,2021,5.16,3.53,1.63
Bob Porterfield,1956,5.38,3.75,1.63
Sean Gallagher,2008,5.17,3.54,1.63
Paul Blackburn,2023,4.30,2.67,1.63
Gene Richardson,1949,3.29,1.66,1.63
Kris Benson,2002,4.70,3.07,1.63
Sal Romano,2018,5.48,3.86,1.62
Syl Johnson,1937,4.73,3.11,1.62
Denny Stark,2002,4.21,2.59,1.62
Matt Cain,2017,5.05,3.43,1.62
Aaron Sele,2004,5.03,3.41,1.62
Kip Wells,2001,5.42,3.80,1.62
Dutch Leonard,1925,4.44,2.82,1.62
Jason Johnson,2006,6.35,4.73,1.62
Bill Dietrich,1939,5.06,3.45,1.61
Sidney Ponson,2005,6.21,4.60,1.61
Runelvys Hernandez,2006,6.48,4.87,1.61
Bobby Shantz,1955,4.92,3.31,1.61
Ricky Nolasco,2006,4.96,3.35,1.61
Brett Tomko,2004,3.96,2.35,1.61
Roger Clemens,1995,4.18,2.57,1.61
Brad Hennessey,2005,4.64,3.03,1.61
David Bush,2009,6.27,4.66,1.61
David Phelps,2015,4.39,2.78,1.61
Zach Duke,2007,5.61,4.01,1.60
Chris Sale,2023,4.30,2.70,1.60
Roenis Elias,2015,4.18,2.58,1.60
Derek Holland,2016,5.04,3.44,1.60
Jameson Taillon,2017,4.44,2.84,1.60
Mark Hendrickson,2008,6.24,4.64,1.60
Jordan Lyles,2013,5.57,3.97,1.60
Jack O'Connor,1982,4.55,2.95,1.60
Kameron Loe,2007,5.36,3.76,1.60
Bill Krueger,1983,3.72,2.12,1.60
Andrew Miller,2008,5.63,4.03,1.60
Mike Moore,1995,7.53,5.93,1.60
Matt Garza,2017,5.06,3.46,1.60
Brad Keller,2022,4.93,3.33,1.60
Danny Salazar,2014,4.25,2.65,1.60
Joe Kennedy,2003,6.60,5.00,1.60
Art Decatur,1925,4.93,3.34,1.59
Doug Johns,1996,6.04,4.45,1.59
Eric Show,1989,4.23,2.64,1.59
Ryan Rupe,2001,5.91,4.32,1.59
Roberto Hernandez,2008,5.44,3.85,1.59
Rick Aguilera,1985,3.35,1.76,1.59
Pete Burnside,1962,5.00,3.41,1.59
Gordon Rhodes,1935,5.66,4.07,1.59
Walt Masterson,1940,5.58,3.99,1.59
Curt Young,1990,4.53,2.94,1.59
Burt Hooton,1985,5.64,4.05,1.59
Rube Kisinger,1903,3.13,1.54,1.59
Rick Reed,2003,5.13,3.54,1.59
Chuck James,2006,3.93,2.34,1.59
David Hess,2018,4.84,3.25,1.59
Earl Hamilton,1922,3.66,2.07,1.59
Steve Woodard,2000,6.47,4.88,1.59
Tom Browning,1993,4.70,3.11,1.59
Kevin Jarvis,2000,6.11,4.52,1.59
Andy Hawkins,1990,5.44,3.85,1.59
Sonny Gray,2018,5.26,3.67,1.59
Luis Tiant,1966,2.71,1.12,1.59
Kenta Maeda,2023,4.28,2.69,1.59
Carlos Rodon,2015,3.79,2.21,1.58
Willie Blair,1993,5.03,3.45,1.58
Jim Walkup,1937,7.57,5.99,1.58
Adam Plutko,2019,4.64,3.06,1.58
Mark Davis,1984,5.80,4.22,1.58
Joe Shaute,1925,5.17,3.59,1.58
Al Gettel,1945,4.29,2.71,1.58
Mike Maroth,2007,6.26,4.68,1.58
Claudio Vargas,2003,4.45,2.87,1.58
Kyle Davies,2009,5.27,3.69,1.58
Jair Jurrjens,2010,4.64,3.06,1.58
Nick Martinez,2015,4.09,2.51,1.58
Jeff Robinson,1987,5.26,3.68,1.58
Jack Kramer,1949,5.11,3.53,1.58
Hank Johnson,1930,4.43,2.85,1.58
Bill Swift,1994,3.38,1.80,1.58
Randy Gumpert,1950,4.97,3.40,1.57
Nick Pivetta,2017,6.02,4.45,1.57
Clayton Kershaw,2021,3.55,1.98,1.57
Happy Townsend,1901,3.32,1.75,1.57
Bob Trice,1954,5.54,3.97,1.57
Pete Walker,2002,4.79,3.22,1.57
Wayne Simpson,1977,6.29,4.72,1.57
Scott Kazmir,2009,4.89,3.32,1.57
Ken Hill,1998,4.98,3.41,1.57
Hal Carlson,1922,5.95,4.38,1.57
Brandon Backe,2008,6.05,4.48,1.57
Michael Lorenzen,2023,4.06,2.49,1.57
Dana Fillingim,1918,2.25,0.68,1.57
Alex Carrasquel,1942,3.82,2.25,1.57
Wade Davis,2013,5.67,4.10,1.57
Dave Koslo,1952,3.68,2.11,1.57
Nathan Eovaldi,2012,4.30,2.73,1.57
Alex Ferguson,1928,6.81,5.25,1.56
Ray Kolp,1930,4.55,2.99,1.56
Pedro Astacio,1994,4.29,2.73,1.56
Colby Lewis,2012,3.43,1.87,1.56
Lefty Weinert,1923,5.88,4.32,1.56
Dylan Axelrod,2013,5.76,4.20,1.56
Jhoulys Chacin,2016,5.07,3.51,1.56
Shawn Chacon,2002,5.73,4.17,1.56
Catfish Hunter,1978,3.46,1.90,1.56
Vito Tamulis,1935,3.97,2.41,1.56
Lance Davis,2001,4.74,3.18,1.56
Kevin Appier,2003,5.40,3.84,1.56
Roric Harrison,1973,4.35,2.79,1.56
Ed Durham,1931,3.36,1.80,1.56
Luke Hochevar,2009,6.55,4.99,1.56
Jake Peavy,2010,4.63,3.07,1.56
Chris Nabholz,1993,4.04,2.49,1.55
Omar Daal,2002,4.45,2.90,1.55
Lance McCullers,2018,3.93,2.38,1.55
Reid Cornelius,2000,4.76,3.21,1.55
Aaron Nola,2016,4.78,3.23,1.55
Vin Mazzaro,2010,4.29,2.74,1.55
Carlos Perez,2000,6.37,4.82,1.55
Roy Mahaffey,1930,4.37,2.82,1.55
Schoolboy Rowe,1933,4.03,2.48,1.55
Brian Givens,1995,4.95,3.40,1.55
Ray Culp,1972,4.46,2.91,1.55
Erasmo Ramirez,2017,4.74,3.19,1.55
Pablo Lopez,2019,5.09,3.54,1.55
Michael Mimbs,1995,4.24,2.70,1.54
Randy Gumpert,1951,4.13,2.59,1.54
Jeff Ballard,1991,5.48,3.94,1.54
Jake Arrieta,2011,5.05,3.51,1.54
Willis Hudlin,1933,4.07,2.53,1.54
Ian Kennedy,2018,4.66,3.12,1.54
Brian Burres,2008,5.52,3.98,1.54
Matt Andriese,2016,4.80,3.26,1.54
Jose Contreras,2008,4.54,3.00,1.54
Brian Rose,2000,5.96,4.42,1.54
Kenta Maeda,2021,4.66,3.12,1.54
Mat Latos,2015,4.92,3.38,1.54
Johnny Gorsica,1940,4.62,3.08,1.54
Trevor Richards,2018,4.42,2.88,1.54
Benny Frey,1931,5.14,3.60,1.54
Sid Hudson,1946,4.13,2.59,1.54
Geremi Gonzalez,1998,5.32,3.78,1.54
Scott Sanders,1994,4.95,3.42,1.53
Ron Guidry,1987,3.75,2.22,1.53
Freddie Fitzsimmons,1936,3.64,2.11,1.53
Dave Mlicki,2000,5.83,4.30,1.53
Rick Matula,1980,4.66,3.13,1.53
Victor Santos,2005,4.56,3.03,1.53
Andy Hassler,1976,3.56,2.03,1.53
Scott Karl,1995,4.17,2.64,1.53
Floyd Bannister,1981,4.46,2.93,1.53
Eric Lauer,2018,4.34,2.81,1.53
Scott Feldman,2017,4.77,3.24,1.53
Amaury Telemaco,1998,4.31,2.78,1.53
Don Carman,1989,5.58,4.05,1.53
Jason Berken,2009,6.54,5.02,1.52
Danny McDevitt,1959,4.02,2.50,1.52
Wally Bunker,1970,4.05,2.53,1.52
Curt Young,1984,4.08,2.56,1.52
Micah Owings,2008,5.72,4.20,1.52
Kyle Freeland,2021,4.33,2.81,1.52
J.A. Happ,2021,5.79,4.27,1.52
Wilbur Wood,1977,4.84,3.32,1.52
Jim Bullinger,1997,5.68,4.16,1.52
Mark Mulder,2000,5.44,3.92,1.52
Kendall Graveman,2015,4.05,2.53,1.52
Brian Moehler,2006,7.29,5.77,1.52
Eric Erickson,1919,4.82,3.30,1.52
Storm Davis,1990,4.67,3.15,1.52
Paul Wilson,2001,5.13,3.61,1.52
Josh Beckett,2002,4.21,2.70,1.51
Flint Rhem,1933,6.32,4.81,1.51
Dan Spillner,1975,4.53,3.02,1.51
Arnie Portocarrero,1955,4.73,3.22,1.51
Josh Beckett,2010,5.78,4.27,1.51
Chris Brock,1999,5.48,3.97,1.51
James Baldwin,2002,5.05,3.54,1.51
Clark Griffith,1902,4.13,2.62,1.51
Mike Foltynewicz,2021,5.54,4.03,1.51
John Denny,1980,4.39,2.88,1.51
Art Fromme,1913,4.58,3.07,1.51
Mel Queen,1951,4.88,3.37,1.51
Johan Oviedo,2023,4.31,2.80,1.51
Garrett Stephenson,1997,3.22,1.71,1.51
Glenn Sparkman,2019,6.31,4.80,1.51
Virgil Cheeves,1921,4.67,3.16,1.51
Scott Scudder,1992,4.83,3.32,1.51
Chris Young,2008,3.96,2.45,1.51
Wei-Yin Chen,2018,4.79,3.29,1.50
John Candelaria,1987,4.81,3.31,1.50
Jason Bere,2000,5.47,3.97,1.50
Clay Parker,1989,4.03,2.53,1.50
Earl Moore,1914,4.16,2.66,1.50
Shawn Boskie,1995,5.64,4.14,1.50
Brian Bannister,2010,6.32,4.82,1.50
Bob Carpenter,1941,4.33,2.83,1.50
Aaron Harang,2011,3.64,2.14,1.50
Austin Gomber,2021,4.53,3.03,1.50
Triston McKenzie,2021,5.03,3.53,1.50
Jake Odorizzi,2022,4.40,2.91,1.49
Dan Reichert,2000,4.80,3.31,1.49
Chris Paddack,2021,5.08,3.59,1.49
Wade Taylor,1991,5.82,4.33,1.49
Guy Morton,1920,4.32,2.83,1.49
Chris Haney,1993,6.02,4.53,1.49
Joel Pineiro,2010,3.84,2.35,1.49
Colby Lewis,2003,7.30,5.81,1.49
Taylor Jungmann,2015,3.77,2.28,1.49
Mike Morgan,1996,4.63,3.14,1.49
Eduardo Rodriguez,2016,4.71,3.22,1.49
Kendall Graveman,2017,4.19,2.70,1.49
Mike Foltynewicz,2019,4.54,3.05,1.49
D.J. Carrasco,2005,4.84,3.35,1.49
Bill Greif,1972,5.60,4.11,1.49
Ryan Vogelsong,2015,4.50,3.01,1.49
Garrett Richards,2013,4.18,2.69,1.49
Vincent Velasquez,2018,4.88,3.40,1.48
Michael Fulmer,2018,4.69,3.21,1.48
Barry Zito,2013,5.55,4.07,1.48
Ivy Andrews,1933,4.74,3.26,1.48
Tim Wakefield,1993,5.66,4.18,1.48
Jose Rijo,1989,2.84,1.36,1.48
Tim Lincecum,2014,4.67,3.19,1.48
Ray Culp,1964,3.56,2.08,1.48
Glendon Rusch,1998,6.26,4.78,1.48
Tom Griffin,1970,5.71,4.23,1.48
Jose Contreras,2004,5.50,4.02,1.48
Edwin Jackson,2014,6.38,4.90,1.48
Clay Buchholz,2015,3.26,1.78,1.48
Scott Erickson,2002,5.62,4.14,1.48
William VanLandingham,1995,3.67,2.19,1.48
Johnny Allen,1940,3.51,2.03,1.48
Bill Sherdel,1931,4.30,2.82,1.48
Brad Penny,2002,4.66,3.18,1.48
Bullet Joe Bush,1915,3.97,2.49,1.48
Pete Schourek,2000,5.11,3.63,1.48
Pete Smith,1994,5.55,4.07,1.48
Frank Wills,1985,6.01,4.53,1.48
John Smiley,1993,5.62,4.15,1.47
Ryan Drese,2002,6.55,5.08,1.47
Huck Betts,1935,5.99,4.52,1.47
J. P. France,2023,3.92,2.45,1.47
Ray Narleski,1957,3.30,1.83,1.47
Steve Ontiveros,1995,4.37,2.90,1.47
Shawn Boskie,1991,5.48,4.01,1.47
Aaron Civale,2021,3.84,2.37,1.47
Matt Moore,2017,5.59,4.12,1.47
Gil Meche,2009,5.09,3.62,1.47
Casey Fossum,2006,5.33,3.86,1.47
Kyle Bradish,2022,4.90,3.43,1.47
Mark Gubicza,1991,5.68,4.21,1.47
Pete Donohue,1928,4.96,3.49,1.47
Ron Darling,1995,6.23,4.76,1.47
Mike Smithson,1989,4.63,3.16,1.47
Alex Wood,2022,5.10,3.63,1.47
Rocky Coppinger,1996,5.24,3.77,1.47
Jose Contreras,2009,5.14,3.67,1.47
Sonny Siebert,1974,3.59,2.13,1.46
Paul Wagner,1993,3.96,2.50,1.46
Dinelson Lamet,2017,4.57,3.11,1.46
Lew Krausse,1967,4.70,3.24,1.46
Elizardo Ramirez,2006,5.26,3.80,1.46
Ron Bryant,1974,6.35,4.89,1.46
Charlie Robertson,1925,4.94,3.48,1.46
Michael Wacha,2023,3.22,1.76,1.46
Wilcy Moore,1931,4.99,3.53,1.46
Alek Manoah,2021,3.22,1.76,1.46
Wally Burnette,1956,3.33,1.87,1.46
Carlos Silva,2008,6.46,5.00,1.46
Petie Behan,1923,6.38,4.92,1.46
Bret Saberhagen,1999,2.95,1.49,1.46
Red Faber,1919,4.37,2.91,1.46
Ryan Vogelsong,2004,6.71,5.25,1.46
Yovani Gallardo,2017,6.28,4.82,1.46
Scott Sanderson,1987,4.48,3.02,1.46
Allen Levrault,2001,6.04,4.58,1.46
Rick Wise,1977,4.80,3.34,1.46
Edwin Jackson,2007,5.77,4.31,1.46
Tyler Duffey,2016,6.43,4.97,1.46
Jaime Navarro,1998,6.21,4.76,1.45
Tyler Chatwood,2013,3.15,1.70,1.45
Orval Grove,1947,4.08,2.63,1.45
Jeff Fassero,1999,6.77,5.32,1.45
Johnny Sain,1952,4.41,2.96,1.45
James Shields,2016,5.85,4.40,1.45
Julio Urias,2023,4.60,3.15,1.45
Blake Snell,2021,4.20,2.75,1.45
Brian Anderson,1999,4.27,2.82,1.45
Dick Ruthven,1981,5.23,3.78,1.45
Ernie Wingard,1925,6.24,4.79,1.45
Micah Owings,2009,5.74,4.29,1.45
Michael Wacha,2019,4.66,3.21,1.45
Andrew Cashner,2016,5.26,3.81,1.45
Pedro Astacio,2005,4.66,3.21,1.45
Jorge de la Rosa,2007,5.63,4.18,1.45
Charlie Root,1939,3.66,2.21,1.45
Charlie Morton,2015,4.81,3.36,1.45
Ben Tincup,1914,3.01,1.56,1.45
Jorge Sosa,2003,4.76,3.31,1.45
Brian Fisher,1988,5.33,3.88,1.45
Jose Quintana,2018,4.09,2.64,1.45
Jeff Johnson,1991,5.95,4.50,1.45
Zack Greinke,2016,4.37,2.92,1.45
Manny Parra,2009,6.36,4.91,1.45
Roger Craig,1960,3.35,1.90,1.45
John Thomson,1998,4.81,3.36,1.45
Roger Moret,1973,3.03,1.59,1.44
Jaret Wright,1999,6.06,4.62,1.44
Odalis Perez,2005,4.56,3.12,1.44
Tyler Chatwood,2016,3.87,2.43,1.44
Cisco Carlos,1968,3.99,2.55,1.44
Esteban Loaiza,2002,5.71,4.27,1.44
Jack Billingham,1977,5.31,3.87,1.44
Danny MacFayden,1927,4.57,3.13,1.44
George Mogridge,1920,4.31,2.87,1.44
James Baldwin,1998,4.52,3.08,1.44
Drew Smyly,2022,3.47,2.03,1.44
Dwight Gooden,1999,6.41,4.97,1.44
Gerrit Cole,2016,3.88,2.44,1.44
Jim Perry,1959,2.49,1.05,1.44
Jesse Petty,1925,5.08,3.64,1.44
Joe Bowman,1937,4.39,2.95,1.44
Colby Lewis,2016,3.71,2.27,1.44
Waite Hoyt,1932,4.11,2.67,1.44
Darrell Rasner,2008,5.40,3.96,1.44
Pete Donohue,1930,6.13,4.69,1.44
Jake Peavy,2016,5.47,4.03,1.44
Terry Mulholland,2000,5.61,4.17,1.44
Zach Day,2004,3.93,2.49,1.44
Roy Henshaw,1937,5.11,3.67,1.44
Bob Friend,1954,5.82,4.38,1.44
Bill Sherdel,1918,2.83,1.40,1.43
Pedro Astacio,2001,5.09,3.66,1.43
Derek Holland,2009,6.23,4.80,1.43
Steve Trout,1979,3.87,2.44,1.43
Enrique Gonzalez,2006,5.88,4.45,1.43
Mike Foltynewicz,2017,4.74,3.31,1.43
Pete Harnisch,2000,4.74,3.31,1.43
Steve Renko,1980,4.44,3.01,1.43
Drew Smyly,2023,5.62,4.19,1.43
Scott Elarton,2000,4.81,3.38,1.43
Mike Witt,1983,5.43,4.00,1.43
Byung-Hyun Kim,2007,5.93,4.50,1.43
Bill Hallahan,1934,4.24,2.81,1.43
Rube Bressler,1915,5.66,4.23,1.43
Scott Feldman,2012,5.48,4.05,1.43
Chad Ogea,1997,4.99,3.56,1.43
Kevin Millwood,2012,4.25,2.82,1.43
Andrew Heaney,2015,3.49,2.06,1.43
Dave Burba,2001,6.54,5.11,1.43
Chris Young,2012,4.15,2.72,1.43
Noah Lowry,2006,4.74,3.31,1.43
Wes Obermueller,2004,5.42,3.99,1.43
Nathan Eovaldi,2018,3.77,2.34,1.43
Ervin Santana,2005,4.65,3.22,1.43
Justin Germano,2007,4.56,3.13,1.43
Joe Haynes,1945,3.65,2.22,1.43
Bob Owchinko,1979,4.25,2.82,1.43
Sidney Ponson,2008,5.08,3.65,1.43
Jim Clancy,1989,5.17,3.74,1.43
Earl Yingling,1913,2.50,1.07,1.43
Lefty Stewart,1928,4.94,3.52,1.42
Hugh McQuillan,1927,4.90,3.48,1.42
Hideki Irabu,1998,4.00,2.58,1.42
Bob Sadowski,1964,4.25,2.83,1.42
Sid Fernandez,1994,5.15,3.73,1.42
JT Brubaker,2021,5.36,3.94,1.42
Willis Hudlin,1939,4.42,3.00,1.42
Boom-Boom Beck,1939,4.80,3.38,1.42
Chuck Stobbs,1950,5.23,3.81,1.42
George Caster,1939,4.88,3.46,1.42
Red Ruffing,1927,4.84,3.42,1.42
Chase Anderson,2019,4.19,2.77,1.42
Kevin Gausman,2015,4.22,2.80,1.42
Steve Trout,1987,4.26,2.84,1.42
Matt Garza,2015,5.83,4.41,1.42
Tommy Hunter,2012,5.71,4.29,1.42
Marv Breuer,1941,3.84,2.42,1.42
Win Mercer,1901,4.63,3.21,1.42
Scott Kamieniecki,1994,3.83,2.41,1.42
Kirk Rueter,2003,4.53,3.11,1.42
Jarrod Washburn,2008,4.75,3.33,1.42
Ubaldo Jimenez,2017,7.20,5.78,1.42
Frank Viola,1982,5.21,3.79,1.42
Julian Tavarez,2007,5.22,3.80,1.42
John Cerutti,1987,4.75,3.33,1.42
Pete Broberg,1973,5.35,3.93,1.42
Madison Bumgarner,2018,3.26,1.84,1.42
Mike Morgan,1999,6.51,5.09,1.42
Mike Harkey,1993,5.26,3.84,1.42
Rodrigo Lopez,2006,5.87,4.45,1.42
Carlos Zambrano,2010,3.19,1.78,1.41
Sonny Gray,2016,5.69,4.28,1.41
Ricky Bones,1996,6.13,4.72,1.41
Zane Smith,1985,3.16,1.75,1.41
Randy Lerch,1977,5.08,3.67,1.41
Jeff Francis,2010,4.93,3.52,1.41
German Marquez,2019,4.76,3.35,1.41
Raleigh Aitchison,1914,2.92,1.51,1.41
Les Mueller,1945,3.45,2.04,1.41
Jamey Wright,1997,6.25,4.84,1.41
Joe Dobson,1941,4.25,2.84,1.41
Jeff Francis,2012,5.58,4.17,1.41
Ted Lyons,1941,3.75,2.34,1.41
Travis Wood,2010,3.51,2.10,1.41
Mark Clark,1995,5.43,4.02,1.41
Denny Neagle,2002,5.30,3.89,1.41
Allen Watson,1995,5.45,4.04,1.41
Chris Sampson,2007,4.64,3.23,1.41
Chris Carpenter,2000,6.55,5.14,1.41
Esteban Yan,2000,6.60,5.19,1.41
Jaime Navarro,1999,6.24,4.83,1.41
Steve Sparks,1999,5.34,3.93,1.41
