playername,year,realERA,adjustedERA,diff
Jason Hammel,2018,6.16,3.16,3.00
Jack Katoll,1902,4.23,1.31,2.92
Johan Santana,2012,4.85,1.96,2.89
Jack Bracken,1901,6.19,3.34,2.85
Taylor Buchholz,2006,6.08,3.35,2.73
Willie Blair,1993,5.03,2.39,2.64
Chuck Finley,2001,5.54,2.90,2.64
Ismael Valdez,2000,5.69,3.10,2.59
Adam Conley,2017,6.17,3.61,2.56
Mark Hendrickson,2008,6.24,3.71,2.53
Kyle Lohse,2006,6.19,3.67,2.52
Jordan Zimmermann,2016,4.93,2.45,2.48
Bill Swift,1995,4.94,2.47,2.47
Jeff Locke,2016,5.86,3.40,2.46
Blake Stein,1998,6.36,3.90,2.46
Chad Bettis,2018,5.28,2.84,2.44
Enrique Gonzalez,2006,5.88,3.44,2.44
Ivy Andrews,1933,4.74,2.31,2.43
Derek Lowe,2012,5.52,3.11,2.41
Roberto Hernandez,2008,5.44,3.05,2.39
Jamie Moyer,2010,4.84,2.45,2.39
Yovani Gallardo,2007,3.74,1.36,2.38
Roy Halladay,1999,3.97,1.60,2.37
Adam Wainwright,2023,7.40,5.03,2.37
Ray Kolp,1930,4.55,2.20,2.35
Tommy Thomas,1934,5.52,3.18,2.34
Willis Roberts,2001,5.45,3.11,2.34
Joe Ross,2021,4.02,1.68,2.34
Williams Perez,2015,4.61,2.28,2.33
Ismael Valdez,2003,6.10,3.78,2.32
Glendon Rusch,2003,7.36,5.05,2.31
Jakie May,1930,5.12,2.81,2.31
Chris Volstad,2012,6.31,4.01,2.30
Firpo Marberry,1932,4.42,2.12,2.30
Robert Gsellman,2017,5.29,2.99,2.30
Ryan Dempster,2003,6.71,4.42,2.29
Bill Dietrich,1945,4.21,1.93,2.28
Hideo Nomo,2005,7.24,4.97,2.27
Carl Pavano,1999,5.59,3.32,2.27
Bill James,1913,3.72,1.45,2.27
Eric Gagne,2001,4.92,2.66,2.26
Pete Appleton,1937,5.18,2.92,2.26
Danny Jackson,1989,5.60,3.35,2.25
Shawn Chacon,2003,4.60,2.36,2.24
Esmil Rogers,2013,4.89,2.65,2.24
Omar Daal,2002,4.45,2.21,2.24
Del Lundgren,1927,6.07,3.84,2.23
David Peterson,2023,5.24,3.01,2.23
Travis Wood,2011,5.08,2.85,2.23
Lucas Harrell,2013,5.98,3.77,2.21
Ramon Ortiz,2000,5.09,2.89,2.20
Jimmy Haynes,1999,5.80,3.60,2.20
Jose Silva,1998,4.40,2.21,2.19
Kris Benson,2003,4.97,2.79,2.18
Tom Gorzelanny,2008,6.66,4.48,2.18
Aaron Sele,2005,5.66,3.48,2.18
Heinie Meine,1930,6.04,3.86,2.18
Jake Arrieta,2012,6.13,3.95,2.18
Mike Smithson,1988,5.74,3.56,2.18
Eduardo Rodriguez,2015,3.85,1.68,2.17
Ervin Santana,2005,4.65,2.48,2.17
Chris Capuano,2013,4.46,2.30,2.16
Michael Wacha,2021,4.53,2.37,2.16
Odrisamer Despaigne,2015,5.44,3.28,2.16
Paul Blackburn,2022,4.28,2.12,2.16
Jorge de la Rosa,2008,5.09,2.93,2.16
Ervin Santana,2015,4.00,1.85,2.15
Ryan Rowland-Smith,2010,6.93,4.78,2.15
Blake Snell,2019,4.29,2.14,2.15
Mark Gubicza,1992,3.72,1.58,2.14
Michael Tejera,2002,4.94,2.80,2.14
Tony Gonsolin,2023,4.98,2.84,2.14
Domingo German,2023,4.77,2.64,2.13
Grayson Rodriguez,2023,4.35,2.22,2.13
Bill Dietrich,1935,6.50,4.37,2.13
Ian Kennedy,2018,4.66,2.54,2.12
Dave Stewart,1994,5.87,3.75,2.12
Marcus Stroman,2018,5.54,3.42,2.12
David Price,2019,4.28,2.17,2.11
Erick Fedde,2022,5.81,3.70,2.11
Dan Reichert,2001,5.66,3.55,2.11
Mickey Harris,1948,5.79,3.68,2.11
Sam Gray,1932,4.90,2.79,2.11
Jim Rooker,1979,4.59,2.49,2.10
Guy Bush,1926,3.09,1.00,2.09
Rick Aguilera,1996,5.42,3.33,2.09
Frank Reberger,1970,5.66,3.57,2.09
Adam Wainwright,2017,5.12,3.03,2.09
Chris Rusin,2015,5.62,3.53,2.09
Tyler Beede,2019,5.03,2.94,2.09
Kevin Appier,2003,5.40,3.32,2.08
Marvin Freeman,1996,6.02,3.94,2.08
Gene Richardson,1949,3.29,1.21,2.08
Zack Greinke,2016,4.37,2.29,2.08
Tim Wakefield,2010,5.71,3.63,2.08
Len Barker,1979,4.65,2.58,2.07
Mike Campbell,1988,5.89,3.82,2.07
Oliver Perez,2005,5.85,3.79,2.06
Aaron Nola,2016,4.78,2.72,2.06
Andy Messersmith,1977,4.40,2.34,2.06
Neal Heaton,1983,4.31,2.25,2.06
Andy Ashby,1993,6.53,4.47,2.06
Lew Burdette,1964,4.31,2.26,2.05
Jose Mesa,1991,5.97,3.92,2.05
Fred Frankhouse,1931,3.96,1.91,2.05
Brian Anderson,1994,5.22,3.17,2.05
Dick Fowler,1942,4.72,2.67,2.05
Aaron Sele,2003,5.77,3.72,2.05
Marion Fricano,1954,6.13,4.08,2.05
Matt Wisler,2015,4.79,2.74,2.05
Pete Burnside,1962,5.00,2.95,2.05
John Koronka,2006,5.69,3.64,2.05
Jason Grimsley,1996,6.71,4.67,2.04
Jordan Lyles,2013,5.57,3.53,2.04
Curt Young,1990,4.53,2.49,2.04
Derek Lilliquist,1990,5.12,3.08,2.04
Bill Greif,1972,5.60,3.56,2.04
Oliver Perez,2006,6.55,4.52,2.03
Claude Willoughby,1926,6.66,4.63,2.03
Jeff Francis,2012,5.58,3.55,2.03
David Nied,1994,4.80,2.77,2.03
John Martina,1924,4.63,2.60,2.03
Odalis Perez,2006,6.69,4.66,2.03
Happy Townsend,1901,3.32,1.30,2.02
Scott Feldman,2012,5.48,3.46,2.02
Kenny Rogers,2001,6.19,4.18,2.01
Edwin Jackson,2014,6.38,4.37,2.01
Jorge de la Rosa,2016,5.79,3.78,2.01
Huck Betts,1935,5.99,3.98,2.01
Steve Sparks,2004,6.00,3.99,2.01
Jake Peavy,2010,4.63,2.63,2.00
Dale Gear,1901,4.63,2.63,2.00
Mark Prior,2004,4.02,2.02,2.00
Dylan Axelrod,2013,5.76,3.76,2.00
Tyler Skaggs,2018,4.02,2.02,2.00
Jeremy Guthrie,2015,6.10,4.10,2.00
Lloyd Brown,1936,4.58,2.59,1.99
Paul Moskau,1977,4.08,2.09,1.99
Leo Dickerman,1925,5.79,3.80,1.99
Hal Carlson,1922,5.95,3.96,1.99
Ricky Nolasco,2006,4.96,2.97,1.99
Martin Perez,2023,4.98,2.99,1.99
Dylan Covey,2018,5.50,3.52,1.98
Matt Garza,2012,3.91,1.93,1.98
Mike O'Connor,2006,4.81,2.83,1.98
Kevin Jarvis,1996,6.15,4.17,1.98
Graham Ashcraft,2023,4.76,2.79,1.97
Dave Koslo,1952,3.68,1.71,1.97
Don Carman,1989,5.58,3.61,1.97
Ken Holloway,1925,4.79,2.82,1.97
Jason Johnson,2006,6.35,4.38,1.97
Kevin Gross,1996,6.03,4.06,1.97
Eric Lauer,2018,4.34,2.38,1.96
Kevin Gausman,2015,4.22,2.26,1.96
Jon Heasley,2022,5.28,3.32,1.96
Dana Fillingim,1918,2.25,0.29,1.96
Ryan Rupe,2001,5.91,3.95,1.96
Dave Mlicki,2000,5.83,3.87,1.96
Runelvys Hernandez,2006,6.48,4.53,1.95
Eric Erickson,1919,4.82,2.87,1.95
Allen Levrault,2001,6.04,4.09,1.95
Eric King,1986,4.31,2.36,1.95
Aaron Laffey,2009,4.53,2.58,1.95
Dan Griner,1914,2.54,0.59,1.95
Burleigh Grimes,1932,4.71,2.76,1.95
Derek Holland,2009,6.23,4.28,1.95
Graham Ashcraft,2022,4.89,2.94,1.95
Steve Woodard,2000,6.47,4.52,1.95
Tony Armas,2005,4.97,3.03,1.94
Scott Schoeneweis,2004,5.56,3.62,1.94
Schoolboy Rowe,1933,4.03,2.09,1.94
Claudio Vargas,2003,4.45,2.51,1.94
John Denny,1980,4.39,2.45,1.94
Derek Holland,2017,5.99,4.05,1.94
Oliver Perez,2003,5.47,3.53,1.94
Kendall Graveman,2015,4.05,2.12,1.93
Paul Wagner,1994,4.84,2.91,1.93
Bob Kline,1932,5.68,3.75,1.93
Joe Shaute,1925,5.17,3.24,1.93
Vic Sorrell,1934,5.19,3.26,1.93
Tim Leary,1991,6.24,4.31,1.93
Kris Bubic,2021,4.77,2.84,1.93
Dennis Burns,1924,5.26,3.33,1.93
Chris Haney,1993,6.02,4.09,1.93
Chubby Dean,1940,6.70,4.77,1.93
Freddie Fitzsimmons,1936,3.64,1.71,1.93
Austin Gomber,2021,4.53,2.60,1.93
Mike Foltynewicz,2017,4.74,2.82,1.92
Nick Pivetta,2017,6.02,4.10,1.92
John Candelaria,1987,4.81,2.89,1.92
Jim Bullinger,1996,7.40,5.48,1.92
Tony Welzer,1927,5.04,3.12,1.92
Sonny Gray,2018,5.26,3.34,1.92
Kris Benson,2002,4.70,2.78,1.92
Willis Hudlin,1933,4.07,2.15,1.92
Dolf Luque,1929,4.47,2.55,1.92
Andrew Miller,2008,5.63,3.71,1.92
Oral Hildebrand,1932,3.92,2.00,1.92
Adam Morgan,2016,6.16,4.24,1.92
Pedro Ramos,1964,5.33,3.42,1.91
Kyle Davies,2009,5.27,3.36,1.91
Brian Moehler,2006,7.29,5.38,1.91
Derek Holland,2016,5.04,3.13,1.91
Matt Cain,2017,5.05,3.14,1.91
Ray Culp,1972,4.46,2.55,1.91
Floyd Bannister,1981,4.46,2.55,1.91
Brian Kingman,1979,4.30,2.39,1.91
Don Black,1945,5.07,3.16,1.91
Ken Hill,1998,4.98,3.07,1.91
Carlton Loewer,1998,6.09,4.18,1.91
Art Decatur,1925,4.93,3.02,1.91
Darren Oliver,2000,7.42,5.52,1.90
Barney Wolfe,1903,2.95,1.05,1.90
Earl Hamilton,1922,3.66,1.76,1.90
Bill Krueger,1983,3.72,1.82,1.90
Wilbur Wood,1977,4.84,2.95,1.89
Brian Burres,2008,5.52,3.63,1.89
Alex Carrasquel,1942,3.82,1.93,1.89
Wade Davis,2013,5.67,3.78,1.89
Jordan Zimmermann,2019,6.91,5.02,1.89
Colby Lewis,2003,7.30,5.42,1.88
Gary Knotts,2004,5.30,3.42,1.88
Kip Wells,2001,5.42,3.54,1.88
Jameson Taillon,2017,4.44,2.56,1.88
Woody Williams,2004,4.18,2.30,1.88
Nathan Eovaldi,2013,3.39,1.51,1.88
Chris Sale,2023,4.30,2.42,1.88
Hunter Greene,2023,4.82,2.94,1.88
David Bush,2009,6.27,4.39,1.88
Nathan Eovaldi,2012,4.30,2.43,1.87
David Phelps,2015,4.39,2.52,1.87
John Snyder,2000,6.17,4.30,1.87
Kyle Bradish,2022,4.90,3.03,1.87
Al Leiter,2005,6.21,4.34,1.87
Leo Dickerman,1923,4.67,2.81,1.86
Hal Griggs,1958,6.10,4.24,1.86
Dan Reichert,2000,4.80,2.94,1.86
Bobby Shantz,1955,4.92,3.06,1.86
Vicente Padilla,2008,4.74,2.88,1.86
Rube Bressler,1915,5.66,3.80,1.86
Matt Young,1984,5.72,3.86,1.86
Ryan Vogelsong,2004,6.71,4.85,1.86
John Burkett,1999,5.98,4.12,1.86
Sean Gallagher,2008,5.17,3.31,1.86
Chuck James,2006,3.93,2.07,1.86
Kevin Jarvis,2000,6.11,4.25,1.86
Bill Swift,1998,5.57,3.71,1.86
Denny Neagle,1999,4.28,2.42,1.86
Dinelson Lamet,2017,4.57,2.71,1.86
Johnny Klippstein,1957,4.62,2.77,1.85
Syl Johnson,1937,4.73,2.88,1.85
Tim Wakefield,1993,5.66,3.81,1.85
Willie Mitchell,1912,3.44,1.59,1.85
Steve Cooke,1994,5.15,3.30,1.85
